city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
boende,cd,2017-09-08 13:40:47,20.87,-0.22,73.71,95.0,12.0,2.17
bokspits,bw,2017-09-08 13:00:00,21.26,-28.45,62.6,14.0,0.0,7.99
bolama,gw,2017-09-08 13:40:48,-15.47,11.58,82.26,100.0,64.0,5.64
bolshegrivskoye,ru,2017-09-08 13:40:48,74.81,54.16,34.65,84.0,0.0,3.4
bolungarvik,is,2017-09-08 13:40:49,-23.12,66.08,41.76,100.0,20.0,3.85
bonavista,ca,2017-09-08 13:40:49,-53.11,48.65,66.33,77.0,80.0,17.72
botro,ci,2017-09-08 13:00:00,-5.31,7.85,75.2,100.0,75.0,6.53
bouar,cf,2017-09-08 13:40:50,15.6,5.93,65.88,92.0,8.0,0.94
boueni,yt,2017-09-08 13:00:00,45.08,-12.9,73.4,83.0,20.0,3.36
bourbonnais,us,2017-09-08 13:15:00,-87.88,41.14,77.0,47.0,40.0,5.82
bousse,bf,2017-09-08 13:00:00,-1.89,12.66,77.0,73.0,20.0,2.24
braniewo,pl,2017-09-08 13:40:51,19.82,54.38,60.93,100.0,92.0,22.08
bredasdorp,za,2017-09-08 13:00:00,20.04,-34.53,50.0,87.0,0.0,4.7
bubaque,gw,2017-09-08 13:40:51,-15.83,11.28,82.26,100.0,64.0,5.64
bud,no,2017-09-08 13:20:00,6.89,62.8,55.4,71.0,0.0,9.17
bur gabo,so,2017-09-08 13:40:52,45.53,9.52,74.16,60.0,0.0,15.59
burgersdorp,za,2017-09-08 13:40:52,26.33,-31.0,43.47,64.0,0.0,2.73
buritis,br,2017-09-08 13:36:16,-46.42,-15.62,83.61,24.0,0.0,8.21
busselton,au,2017-09-08 13:40:53,115.33,-33.65,56.7,100.0,0.0,1.05
butterworth,za,2017-09-08 13:40:53,28.15,-32.33,48.69,89.0,0.0,2.39
cabedelo,br,2017-09-08 13:00:00,-34.83,-6.98,78.8,74.0,40.0,13.87
caico,br,2017-09-08 13:40:02,-37.1,-6.46,84.96,38.0,0.0,11.23
camacupa,ao,2017-09-08 13:40:54,17.48,-12.02,67.41,42.0,64.0,3.96
camopi,gf,2017-09-08 13:40:54,-52.32,3.17,94.68,29.0,12.0,5.41
campoverde,pe,2017-09-08 13:00:00,-74.81,-8.48,93.2,49.0,40.0,2.24
